year,solar_utility,scenario,solar_added
2023,3404.2,GN0,3404.2
2024,3404.2,GN0,0.0
2025,3527.2300000000005,GN0,123.03000000000065
2026,3708.2300000000005,GN0,181.0
2027,3888.2300000000005,GN0,180.0
2028,4068.2300000000005,GN0,180.0
2029,4249.2300000000005,GN0,181.0
2030,4480.530000000001,GN0,231.30000000000018
2031,7304.570000000001,GN0,2824.04
2032,10125.57,GN0,2820.999999999999
2033,12955.27,GN0,2829.7000000000007
2034,15776.070000000002,GN0,2820.800000000001
2035,18701.6,GN0,2925.529999999999
2036,18811.6,GN0,110.0
2037,18921.6,GN0,110.0
2038,19031.6,GN0,110.0
2039,19141.6,GN0,110.0
2040,19272.28,GN0,130.6800000000003
2041,20663.28,GN0,1391.0
2042,22054.28,GN0,1391.0
2043,23435.28,GN0,1381.0
2044,24826.28,GN0,1391.0
2045,26155.48,GN0,1329.2000000000007
2046,26490.879999999997,GN0,335.3999999999978
2047,26835.379999999997,GN0,344.5
2048,27181.179999999997,GN0,345.7999999999993
2049,27516.179999999997,GN0,335.0
2050,27770.28,GN0,254.10000000000218
2023,3404.2,S1,3404.2
2024,5869.257298474952,S1,2465.0572984749524
2025,8457.344596949897,S1,2588.087298474944
2026,11103.401895424831,S1,2646.057298474934
2027,13748.459193899784,S1,2645.0572984749524
2028,16393.51649237473,S1,2645.057298474945
2029,19039.573790849674,S1,2646.057298474945
2030,21735.93108932462,S1,2696.3572984749444
2031,27025.028387799568,S1,5289.09729847495
2032,32311.085686274506,S1,5286.057298474938
2033,37605.842984749455,S1,5294.7572984749495
2034,42891.700283224396,S1,5285.857298474941
2035,48282.287581699355,S1,5390.5872984749585
2036,50857.344880174285,S1,2575.0572984749306
2037,53432.40217864923,S1,2575.057298474945
2038,56007.459477124175,S1,2575.057298474945
2039,58582.51677559912,S1,2575.057298474945
2040,61178.25407407407,S1,2595.7372984749527
2041,65034.31137254902,S1,3856.057298474945
2042,68890.36867102396,S1,3856.057298474945
2043,72736.4259694989,S1,3846.057298474945
2044,76592.48326797385,S1,3856.057298474945
2045,80386.74056644879,S1,3794.257298474942
2046,83187.19786492373,S1,2800.4572984749393
2047,85996.75516339867,S1,2809.557298474945
2048,88807.61246187362,S1,2810.857298474948
2049,91607.66976034857,S1,2800.057298474945
2050,94326.82705882352,S1,2719.157298474951
2023,3404.2,S2,3404.2
2024,4055.9320261437924,S2,651.7320261437926
2025,4830.694052287586,S2,774.7620261437933
2026,5663.426078431375,S2,832.732026143789
2027,6495.158104575165,S2,831.7320261437908
2028,7326.890130718956,S2,831.7320261437908
2029,8159.622156862749,S2,832.7320261437926
2030,9042.65418300654,S2,883.0320261437919
2031,12518.42620915033,S2,3475.77202614379
2032,15991.158235294122,S2,3472.7320261437926
2033,19472.590261437912,S2,3481.4320261437897
2034,22945.1222875817,S2,3472.5320261437882
2035,26522.38431372549,S2,3577.2620261437914
2036,27284.116339869284,S2,761.7320261437926
2037,28045.848366013073,S2,761.732026143789
2038,28807.580392156862,S2,761.732026143789
2039,29569.312418300655,S2,761.7320261437926
2040,30351.724444444448,S2,782.4120261437929
2041,32394.45647058824,S2,2042.7320261437926
2042,34437.18849673202,S2,2042.7320261437853
2043,36469.920522875815,S2,2032.7320261437926
2044,38512.65254901961,S2,2042.7320261437926
2045,40493.5845751634,S2,1980.9320261437897
2046,41480.716601307184,S2,987.1320261437868
2047,42476.948627450976,S2,996.2320261437926
2048,43474.480653594765,S2,997.5320261437882
2049,44461.21267973856,S2,986.7320261437926
2050,45367.04470588235,S2,905.8320261437912
