project,tech,province,year,wind_cap,sol_cap,storage,duration,location
Northland Power Solar Belleville North,Solar,ON,2013,#N/A,10,#N/A,#N/A,Ameliasburgh
Northland Power Solar Belleville South,Solar,ON,2013,#N/A,10,#N/A,#N/A,Ameliasburgh
Northland Power Solar Burks Falls East,Solar,ON,2013,#N/A,10,#N/A,#N/A,Burks Falls
Northland Power Solar Crosby,Solar,ON,2013,#N/A,10,#N/A,#N/A,Portland
Northland Power Solar McCann L.P.,Solar,ON,2013,#N/A,10,#N/A,#N/A,Westport
Northland Power Solar Rideau Lakes,Solar,ON,2013,#N/A,10,#N/A,#N/A,Portland
RE Midhurst 2,Solar,ON,2013,#N/A,3.5,#N/A,#N/A,Phelpston
RE Midhurst 3,Solar,ON,2013,#N/A,3.5,#N/A,#N/A,Oro Station
RE Midhurst 4,Solar,ON,2013,#N/A,6.5,#N/A,#N/A,Springwater Township
RE Midhurst 6,Solar,ON,2013,#N/A,8.5,#N/A,#N/A,Springwater Township
RE Smiths Falls 2,Solar,ON,2013,#N/A,10,#N/A,#N/A,Perth
RE Smiths Falls 5,Solar,ON,2013,#N/A,10,#N/A,#N/A,Smiths Falls
RE Smiths Falls 6,Solar,ON,2013,#N/A,10,#N/A,#N/A,Smiths Falls
RE Waubaushene 3,Solar,ON,2013,#N/A,10,#N/A,#N/A,Wyebridge
RE Waubaushene 4,Solar,ON,2013,#N/A,8,#N/A,#N/A,Coldwater
RE Waubaushene 5,Solar,ON,2013,#N/A,3.5,#N/A,#N/A,Coldwater
Ruby Farms,Solar,ON,2013,#N/A,1.99821,#N/A,#N/A,Strathroy
Sandringham,Solar,ON,2013,#N/A,10,#N/A,#N/A,City of Kawartha Lakes
Simcoe Solar Energy Centre I,Solar,ON,2013,#N/A,10,#N/A,#N/A,Woodville
Simcoe Solar Energy Centre III,Solar,ON,2013,#N/A,10,#N/A,#N/A,Woodville
William Rutley,Solar,ON,2013,#N/A,10,#N/A,#N/A,Ingleside
Woodville,Solar,ON,2013,#N/A,10,#N/A,#N/A,City of Kawartha Lakes
CAW Wind Turbine,Wind,ON,2013,0.8,#N/A,#N/A,#N/A,Port Elgin
East Lake St. Clair Wind,Wind,ON,2013,99,#N/A,#N/A,#N/A,Chatham-Kent (Mitchell’s Bay)
Erieau Wind,Wind,ON,2013,99,#N/A,#N/A,#N/A,Chatham-Kent (Blenheim)
Gesner Wind Farm,Wind,ON,2013,10,#N/A,#N/A,#N/A,Chatham-Kent
Port Dover & Nanticoke Wind Farm,Wind,ON,2013,104.4,#N/A,#N/A,#N/A,Haldimand and Norfolk Counties
Summerhaven Wind Energy Centre,Wind,ON,2013,124.38,#N/A,#N/A,#N/A,Haldimand County
WEICAN R&D Park Phase 1,Wind,PE,2013,10,#N/A,#N/A,#N/A,North Cape
De l’Érable,Wind,QC,2013,100,#N/A,#N/A,#N/A,"Saint-Ferdinand, Sainte-Sophie-d’Halifax, Saint-Pierre-Baptiste"
Des Moulins,Wind,QC,2013,135.7,#N/A,#N/A,#N/A,"Thetford Mines, Saint-Jean-de-Brébeuf and
Kinnear’s Mills"
Lac-Alfred (phase I),Wind,QC,2013,150,#N/A,#N/A,#N/A,"Gaspesie Peninsula, between the cities of Mont-Joli and Amqui"
Lac-Alfred (phase II),Wind,QC,2013,150,#N/A,#N/A,#N/A,"Gaspesie Peninsula, between the cities of Mont-Joli and Amqui"
Massif du Sud,Wind,QC,2013,153.8,#N/A,#N/A,#N/A,"St-Luc-de-Bellechasse, Buckland, St-Philémon and
St-Magloire"
New Richmond,Wind,QC,2013,67.8,#N/A,#N/A,#N/A,New Richmond
Viger-Denonville,Wind,QC,2013,24.6,#N/A,#N/A,#N/A,"Saint-Paul-de-la-Croix, Saint-Épiphane (MRC de
Rivière-du-Loup)"
"Cowessess First Nation Wind and Storage
Demonstration Project",Wind-Storage,SK,2013,0.8,#N/A,0.4,0.748,Cowessess
Castle Rock Ridge,Wind,AB,2012,77,#N/A,#N/A,#N/A,Pincher Creek
Halkirk Wind,Wind,AB,2012,149.4,#N/A,#N/A,#N/A,Town of Halkirk
"BC Institute of Technology’s (BCIT) Energy
OASIS Demonstration Project",Solar-Storage,BC,2012,#N/A,,0.3,0.5,Burnaby
Quality Wind,Wind,BC,2012,142.2,#N/A,#N/A,#N/A,Tumbler Ridge
St. Leon 2,Wind,MB,2012,16.5,#N/A,#N/A,#N/A,St. Leon
Wind-Hydrogen-Diesel on Ramea Island,Energy Storage,NL,2012,#N/A,#N/A,,,Ramea Island
Amherst I Wind Farm,Wind,NS,2012,31.5,#N/A,#N/A,#N/A,Cumberland County
Fairmont Wind Farm,Wind,NS,2012,4.6,#N/A,#N/A,#N/A,Antigonish
Lingan II (Gillis Cove II/Glace Bay),Wind,NS,2012,2.3,#N/A,#N/A,#N/A,Town of Lingan
Fort Simpson Solar Energy Project,Solar,NT,2012,#N/A,0.1,#N/A,#N/A,Fort Simpson
Diavik Mine Wind Farm,Wind,NT,2012,9.2,#N/A,#N/A,#N/A,300 kms northeast of Yellowknife
2176047,Solar,ON,2012,#N/A,10,#N/A,#N/A,Brockville
First Light 3,Solar,ON,2012,#N/A,10,#N/A,#N/A,Stone Mills
Fort William First Nations Solar Farm,Solar,ON,2012,#N/A,10,#N/A,#N/A,Thunder Bay
GS One-Parkway Solar Farm,Solar,ON,2012,#N/A,10,#N/A,#N/A,Osgoode
"Moore Solar Energy Center (St. Clair Solar 1
& 2)",Solar,ON,2012,#N/A,20,#N/A,#N/A,St. Clair Township
Sombra (St. Clair Solar 3 & 4),Solar,ON,2012,#N/A,20,#N/A,#N/A,St. Clair Township
Stardale,Solar,ON,2012,#N/A,27,#N/A,#N/A,East Hawkesbury Township
Stone Mills Solar Park,Solar,ON,2012,#N/A,11.2,#N/A,#N/A,Napanee
SunE Rutley,Solar,ON,2012,#N/A,10,#N/A,#N/A,Ingleside
Conestogo Wind Energy Centre,Wind,ON,2012,22.92,#N/A,#N/A,#N/A,Arthur
Grand Valley Wind Farm (phase I & II),Wind,ON,2012,19.8,#N/A,#N/A,#N/A,10 km north of the town of Grand Valley
Mother Earth Renewable Energy Project,Wind,ON,2012,4,#N/A,#N/A,#N/A,"Manitoulin Island on M'Chigeeng First Nation
reserve lands"
Plateau I&II (Engie),Wind,ON,2012,18,#N/A,#N/A,#N/A,Melancthon
Plateau III (Engie),Wind,ON,2012,9,#N/A,#N/A,#N/A,Melancthon
Watford Wind Facility,Wind,ON,2012,10,#N/A,#N/A,#N/A,Lambton County (Brooke-Alvinston)
Gros Morne (phase II),Wind,QC,2012,111,#N/A,#N/A,#N/A,Saint-Maxime-du-Mont-Louis & Sainte-Madeleine-de-la-rivière-Madeleine
Le Plateau 1,Wind,QC,2012,138.6,#N/A,#N/A,#N/A,MRC d'Avingon
Montérégie,Wind,QC,2012,101.2,#N/A,#N/A,#N/A,Montérégie
Saint-Robert-Bellarmin,Wind,QC,2012,82,#N/A,#N/A,#N/A,Saint-Robert-Bellarmin and the MRC du Granit
Wintering Hills,Wind,AB,2011,88,#N/A,#N/A,#N/A,21 kilometers southeast of Drumheller
Dokie Wind Project,Wind,BC,2011,144,#N/A,#N/A,#N/A,Peace River Regional District
St. Joseph Wind,Wind,MB,2011,138,#N/A,#N/A,#N/A,"St. Joseph, RM of Montcalm and Rhineland"
Lameque Wind Power Project,Wind,NB,2011,45,#N/A,#N/A,#N/A,Gloucester County
Glen Dhu,Wind,NS,2011,62.1,#N/A,#N/A,#N/A,near Merigomish
Spiddle Hill Phase 2,Wind,NS,2011,0.8,#N/A,#N/A,#N/A,Colchester County
Spiddle Hill Phase I,Wind,NS,2011,0.8,#N/A,#N/A,#N/A,"Spiddle Hill, n. Colchester County"
Watts Wind Project (in Watts Section),Wind,NS,2011,1.5,#N/A,#N/A,#N/A,"2 hours east of Halifax on the Eastern Shore (in
Watts Section)"
Erie Ridge,Solar,ON,2011,#N/A,9.3,#N/A,#N/A,Ridgetown
First Light 2,Solar,ON,2011,#N/A,7.8,#N/A,#N/A,Stone Mills
Ryerse,Solar,ON,2011,#N/A,4,#N/A,#N/A,Port Dover
Silvercreek,Solar,ON,2011,#N/A,10,#N/A,#N/A,Aylmer
SkyPower Fort William,Solar,ON,2011,#N/A,10,#N/A,#N/A,Thunder Bay
Smith Falls B,Solar,ON,2011,#N/A,10,#N/A,#N/A,Smiths Falls
Thunder Bay Airport,Solar,ON,2011,#N/A,8.5,#N/A,#N/A,Thunder Bay
Vanzwolf,Solar,ON,2011,#N/A,5,#N/A,#N/A,Rainy River
Whitewater Solar / Scotch Bush Solar Farm,Solar,ON,2011,#N/A,2.95,#N/A,#N/A,Township of Whitewater Region
"Amherstburg 1,2,3,4",Solar-Storage,ON,2011,#N/A,20,,,Amherstburg
Comber Wind Farm,Wind,ON,2011,165.6,#N/A,#N/A,#N/A,Essex County
Greenwich Renewable Energy Project,Wind,ON,2011,98.9,#N/A,#N/A,#N/A,Township of Dorion/District of Thunderbay
Kent Breeze Wind Farm,Wind,ON,2011,20,#N/A,#N/A,#N/A,Chatham/Kent
Kruger Energy Chatham Wind,Wind,ON,2011,101.2,#N/A,#N/A,#N/A,Chatham/Kent
Pointes Aux Roches,Wind,ON,2011,48.6,#N/A,#N/A,#N/A,Town of Lakeshore/Lake St. Claire
Raleigh Wind Energy Centre,Wind,ON,2011,78,#N/A,#N/A,#N/A,Chatham/Kent
Gros Morne (phase I),Wind,QC,2011,100.6,#N/A,#N/A,#N/A,Saint-Maxime-du-Mont-Louis & Sainte-Madeleine-de-la-rivière-Madeleine
Mont Louis,Wind,QC,2011,100.5,#N/A,#N/A,#N/A,Gaspesie
Montagne-Sèche,Wind,QC,2011,58.4,#N/A,#N/A,#N/A,Cloridorne and Petite Vallée
Red Lily Wind Energy Project,Wind,SK,2011,26.4,#N/A,#N/A,#N/A,Regional Municipality of Martin & Moosomin
Ardenville Wind Farm,Wind,AB,2010,68,#N/A,#N/A,#N/A,Fort McLeod
Ghost Pine Wind Farm,Wind,AB,2010,81.6,#N/A,#N/A,#N/A,"Trochu, Kneehill County"
Summerview 2 Wind Farm,Wind,AB,2010,66,#N/A,#N/A,#N/A,Pincher Creek
The Eye of the Wind Turbine,Wind,BC,2010,1.5,#N/A,#N/A,#N/A,"Grouse Mountain, Vancouver"
Kent Hills 2,Wind,NB,2010,54,#N/A,#N/A,#N/A,"Albert County, Moncton"
